Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Langston Galloway,2019-10-23,27-318,DET,@,IND,W 119-110,,20,2,4,.500,1,3,.333,1,1,1.000,0,0,,.625,1,3,4,0,1,1,3,1,5,2.9,-2.9,11,G,gallola01
2,Langston Galloway,2019-10-24,27-319,DET,,ATL,L 100-117,,26,2,9,.222,0,2,.000,2,7,.286,2,2,1.000,.405,0,3,3,3,1,1,1,1,8,5.8,-2.4,-2,G,gallola01
3,Langston Galloway,2019-10-26,27-321,DET,,PHI,L 111-117,,26,2,3,.667,1,2,.500,1,1,1.000,4,6,.667,.798,0,2,2,2,0,0,0,1,9,8.5,2.3,-6,G,gallola01
4,Langston Galloway,2019-10-28,27-323,DET,,IND,W 96-94,,16,2,9,.222,2,6,.333,0,3,.000,2,2,1.000,.304,0,2,2,0,1,0,0,1,6,1.7,-9.0,0,G,gallola01
5,Langston Galloway,2019-10-30,27-325,DET,@,TOR,L 113-125,,26,3,7,.429,0,2,.000,3,5,.600,8,8,1.000,.808,0,1,1,1,1,0,1,0,17,14.3,7.4,0,G,gallola01
6,Langston Galloway,2019-11-01,27-327,DET,@,CHI,L 106-112,,23,4,10,.400,2,4,.500,2,6,.333,1,1,1.000,.527,1,1,2,2,1,0,0,0,11,9.0,2.0,14,G,gallola01
7,Langston Galloway,2019-11-02,27-328,DET,,BRK,W 113-109,,28,4,8,.500,2,4,.500,2,4,.500,2,2,1.000,.676,0,3,3,1,1,0,0,4,12,9.0,0.4,5,G,gallola01
8,Langston Galloway,2019-11-04,27-330,DET,@,WAS,L 99-115,,22,4,8,.500,2,4,.500,2,4,.500,0,0,,.625,0,0,0,1,0,1,0,0,10,7.4,2.3,1,G,gallola01
9,Langston Galloway,2019-11-06,27-332,DET,,NYK,W 122-102,,23,3,7,.429,2,4,.500,1,3,.333,6,6,1.000,.674,0,2,2,6,1,0,0,0,13,15.1,8.4,20,G,gallola01
10,Langston Galloway,2019-11-08,27-334,DET,@,IND,L 106-112,,31,5,11,.455,2,5,.400,3,6,.500,6,6,1.000,.696,1,2,3,3,0,1,0,2,19,16.6,6.9,-7,G,gallola01
11,Langston Galloway,2019-11-11,27-337,DET,,MIN,L 114-120,,25,7,11,.636,3,5,.600,4,6,.667,0,1,.000,.787,0,1,1,2,0,1,1,2,18,13.3,7.0,-8,G,gallola01
12,Langston Galloway,2019-11-12,27-338,DET,@,MIA,L 108-117,,29,3,11,.273,1,3,.333,2,8,.250,3,3,1.000,.446,1,2,3,1,0,1,3,6,11,1.8,-13.2,2,G,gallola01
13,Langston Galloway,2019-11-15,27-341,DET,@,CHO,L 106-109,,38,11,16,.688,4,5,.800,7,11,.636,3,3,1.000,.924,1,1,2,1,0,0,0,1,32,26.5,13.9,-14,G,gallola01
14,Langston Galloway,2019-11-20,27-346,DET,@,CHI,L 89-109,*,40,3,12,.250,0,2,.000,3,10,.300,4,4,1.000,.472,0,3,3,1,0,0,3,2,13,3.6,-9.0,-30,G,gallola01
15,Langston Galloway,2019-11-22,27-348,DET,,ATL,W 128-103,*,27,4,9,.444,0,2,.000,4,7,.571,0,0,,.667,0,1,1,0,0,0,1,1,12,6.2,-6.8,0,G,gallola01
16,Langston Galloway,2019-11-23,27-349,DET,@,MIL,L 90-104,*,40,5,13,.385,2,4,.500,3,9,.333,0,1,.000,.484,0,2,2,1,1,1,0,0,13,8.5,0.6,-11,G,gallola01
17,Langston Galloway,2019-11-25,27-351,DET,,ORL,W 103-88,*,37,4,11,.364,0,0,,4,11,.364,0,0,,.545,1,2,3,5,1,0,1,2,12,9.9,2.4,18,G,gallola01
18,Langston Galloway,2019-11-27,27-353,DET,@,CHO,L 101-102,*,29,4,9,.444,3,4,.750,1,5,.200,1,1,1.000,.530,0,0,0,2,0,0,1,1,10,5.3,-5.6,-9,G,gallola01
19,Langston Galloway,2019-11-29,27-355,DET,,CHO,L 107-110,*,27,1,4,.250,0,0,,1,4,.250,1,1,1.000,.450,1,3,4,1,2,0,1,0,4,4.9,-4.5,-8,G,gallola01
20,Langston Galloway,2019-12-01,27-357,DET,,SAS,W 132-98,,21,3,5,.600,1,1,1.000,2,4,.500,0,0,,.800,0,3,3,1,1,0,1,0,8,7.3,3.7,15,G,gallola01
21,Langston Galloway,2019-12-03,27-359,DET,@,CLE,W 127-94,,22,5,8,.625,1,1,1.000,4,7,.571,0,0,,.875,1,1,2,1,1,0,0,0,14,13.1,10.1,27,G,gallola01
22,Langston Galloway,2019-12-04,27-360,DET,,MIL,L 103-127,,38,7,10,.700,3,5,.600,4,5,.800,2,3,.667,.883,0,1,1,1,0,0,0,2,20,15.6,3.9,-7,G,gallola01
23,Langston Galloway,2019-12-06,27-362,DET,,IND,W 108-101,,28,2,8,.250,1,1,1.000,1,7,.143,0,0,,.313,0,2,2,0,1,1,0,1,5,2.1,-5.2,4,G,gallola01
24,Langston Galloway,2019-12-09,28-000,DET,@,NOP,W 105-103,,21,6,10,.600,2,2,1.000,4,8,.500,0,0,,.800,1,2,3,1,0,0,2,2,16,10.6,9.8,8,G,gallola01
25,Langston Galloway,2019-12-12,28-003,DET,,DAL,L 111-122,,20,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,.258,0,1,1,1,0,0,0,0,2,0.9,-11.3,-7,G,gallola01
26,Langston Galloway,2019-12-14,28-005,DET,@,HOU,W 115-107,,21,4,7,.571,2,3,.667,2,4,.500,0,0,,.714,0,1,1,0,0,0,0,1,10,6.6,-0.1,7,G,gallola01
27,Langston Galloway,2019-12-16,28-007,DET,,WAS,L 119-133,,29,3,10,.300,1,3,.333,2,7,.286,0,0,,.400,1,1,2,2,1,0,1,1,8,4.2,-8.8,-1,G,gallola01
28,Langston Galloway,2019-12-18,28-009,DET,,TOR,L 99-112,,22,2,7,.286,1,1,1.000,1,6,.167,1,2,.500,.381,1,3,4,0,4,0,1,2,6,5.3,1.1,1,G,gallola01
29,Langston Galloway,2019-12-20,28-011,DET,@,BOS,L 93-114,,27,3,8,.375,1,3,.333,2,5,.400,2,2,1.000,.563,0,2,2,0,0,0,0,2,10,5.4,-3.6,-21,G,gallola01
30,Langston Galloway,2019-12-21,28-012,DET,,CHI,L 107-119,,16,4,8,.500,3,5,.600,1,3,.333,1,1,1.000,.592,0,3,3,1,1,0,0,1,10,8.2,0.6,1,G,gallola01
31,Langston Galloway,2019-12-23,28-014,DET,,PHI,L 109-125,,31,2,8,.250,1,5,.200,1,3,.333,1,1,1.000,.355,1,0,1,4,1,0,2,0,6,3.7,-8.6,-16,G,gallola01
