Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Bradley Beal,2019-10-23,26-117,WAS,@,DAL,L 100-108,*,32,7,25,.280,6,14,.429,1,11,.091,4,6,.667,.344,0,6,6,9,3,0,2,4,19,11.0,2.1,1,G,bealbr01
2,Bradley Beal,2019-10-25,26-119,WAS,@,OKC,W 97-85,*,35,7,22,.318,4,11,.364,3,11,.273,0,1,.000,.379,0,6,6,3,1,1,3,3,17,5.4,-2.6,3,G,bealbr01
3,Bradley Beal,2019-10-26,26-120,WAS,@,SAS,L 122-124,*,38,8,25,.320,5,17,.294,3,8,.375,6,7,.857,.445,1,4,5,11,0,1,3,2,25,16.8,-3.5,-5,G,bealbr01
4,Bradley Beal,2019-10-30,26-124,WAS,,HOU,L 158-159,*,41,14,20,.700,7,8,.875,7,12,.583,11,12,.917,.910,2,4,6,8,3,0,5,4,46,41.8,12.2,8,G,bealbr01
5,Bradley Beal,2019-11-02,26-127,WAS,,MIN,L 109-131,*,28,8,19,.421,5,11,.455,3,8,.375,11,13,.846,.607,0,0,0,1,1,0,6,1,30,14.4,-1.7,-41,G,bealbr01
6,Bradley Beal,2019-11-04,26-129,WAS,,DET,W 115-99,*,32,8,17,.471,7,13,.538,1,4,.250,5,8,.625,.536,3,2,5,6,1,0,5,1,22,14.6,-0.1,-2,G,bealbr01
7,Bradley Beal,2019-11-06,26-131,WAS,@,IND,L 106-121,*,41,12,29,.414,11,17,.647,1,12,.083,5,5,1.000,.481,3,2,5,5,0,0,3,4,30,16.1,-1.8,-10,G,bealbr01
8,Bradley Beal,2019-11-08,26-133,WAS,,CLE,L 100-113,*,39,8,21,.381,5,12,.417,3,9,.333,1,2,.500,.457,1,4,5,9,0,0,4,3,20,11.1,-2.7,-2,G,bealbr01
9,Bradley Beal,2019-11-13,26-138,WAS,@,BOS,L 133-140,*,39,17,27,.630,13,21,.619,4,6,.667,6,8,.750,.721,1,4,5,6,1,0,1,0,44,37.2,12.8,0,G,bealbr01
10,Bradley Beal,2019-11-15,26-140,WAS,@,MIN,W 137-116,*,37,15,22,.682,14,17,.824,1,5,.200,13,14,.929,.781,0,3,3,10,2,1,5,3,44,38.6,13.0,31,G,bealbr01
11,Bradley Beal,2019-11-17,26-142,WAS,@,ORL,L 121-125,*,40,12,26,.462,7,16,.438,5,10,.500,5,6,.833,.594,1,5,6,8,1,0,3,4,34,24.4,2.6,-5,G,bealbr01
12,Bradley Beal,2019-11-20,26-145,WAS,,SAS,W 138-132,*,38,14,24,.583,11,17,.647,3,7,.429,2,2,1.000,.663,0,4,4,4,0,0,4,4,33,20.2,-5.9,1,G,bealbr01
13,Bradley Beal,2019-11-22,26-147,WAS,,CHO,W 125-118,*,42,10,19,.526,6,11,.545,4,8,.500,6,7,.857,.679,1,4,5,12,0,0,1,2,30,28.8,5.6,11,G,bealbr01
14,Bradley Beal,2019-11-24,26-149,WAS,,SAC,L 106-113,*,41,8,18,.444,6,12,.500,2,6,.333,2,2,1.000,.530,2,1,3,8,0,0,2,3,20,14.7,-1.0,-4,G,bealbr01
15,Bradley Beal,2019-11-26,26-151,WAS,@,DEN,L 104-117,*,30,6,15,.400,4,5,.800,2,10,.200,0,2,.000,.441,0,4,4,6,1,0,4,1,14,7.1,-4.5,-15,G,bealbr01
16,Bradley Beal,2019-11-27,26-152,WAS,@,PHO,W 140-132,*,40,11,18,.611,7,12,.583,4,6,.667,9,10,.900,.781,0,2,2,6,1,1,1,2,35,31.1,5.9,13,G,bealbr01
17,Bradley Beal,2019-11-29,26-154,WAS,@,LAL,L 103-125,*,30,5,13,.385,3,6,.500,2,7,.286,6,6,1.000,.575,1,2,3,9,2,0,3,3,18,16.3,6.3,-20,G,bealbr01
18,Bradley Beal,2019-12-01,26-156,WAS,@,LAC,L 125-150,*,35,7,19,.368,7,15,.467,0,4,.000,9,10,.900,.491,0,5,5,11,2,0,5,2,23,17.5,-1.6,-14,G,bealbr01
19,Bradley Beal,2019-12-03,26-158,WAS,,ORL,L 120-127,*,42,16,30,.533,13,24,.542,3,6,.500,7,10,.700,.610,1,5,6,4,1,0,3,4,42,27.6,0.8,-15,G,bealbr01
20,Bradley Beal,2019-12-05,26-160,WAS,,PHI,W 119-113,*,38,7,24,.292,6,20,.300,1,4,.250,11,13,.846,.437,5,5,10,4,0,0,5,2,26,13.2,-7.9,6,G,bealbr01
21,Bradley Beal,2019-12-06,26-161,WAS,@,MIA,L 103-112,*,39,7,17,.412,3,7,.429,4,10,.400,5,6,.833,.586,0,4,4,8,1,1,6,3,23,14.8,0.0,-8,G,bealbr01
22,Bradley Beal,2019-12-08,26-163,WAS,,LAC,L 119-135,*,36,5,18,.278,4,13,.308,1,5,.200,9,9,1.000,.455,0,2,2,5,0,0,3,4,20,8.9,-10.8,-22,G,bealbr01
23,Bradley Beal,2019-12-10,26-165,WAS,@,CHO,L 107-114,*,37,6,19,.316,6,12,.500,0,7,.000,4,5,.800,.377,2,2,4,9,0,1,4,3,16,8.5,-9.5,-36,G,bealbr01
24,Bradley Beal,2019-12-14,26-169,WAS,@,MEM,L 111-128,*,34,8,23,.348,3,10,.300,5,13,.385,8,12,.667,.513,4,6,10,4,4,0,6,4,29,18.3,1.5,-26,G,bealbr01
25,Bradley Beal,2019-12-16,26-171,WAS,@,DET,W 133-119,*,37,12,24,.500,7,15,.467,5,9,.556,6,7,.857,.646,1,2,3,10,1,0,2,2,35,29.1,7.4,17,G,bealbr01
26,Bradley Beal,2019-12-18,26-173,WAS,,CHI,L 109-110 (OT),*,41,4,19,.211,3,10,.300,1,9,.111,13,14,.929,.437,1,6,7,7,1,2,5,2,22,13.9,-1.9,-11,G,bealbr01
27,Bradley Beal,2019-12-20,26-175,WAS,@,TOR,L 118-122,*,39,12,24,.500,9,14,.643,3,10,.300,10,12,.833,.632,0,7,7,6,1,0,2,1,37,29.1,8.2,-5,G,bealbr01
28,Bradley Beal,2019-12-21,26-176,WAS,@,PHI,L 108-125,*,38,13,24,.542,10,14,.714,3,10,.300,7,7,1.000,.665,0,8,8,6,2,0,1,1,36,31.6,14.4,-7,G,bealbr01
29,Bradley Beal,2019-12-23,26-178,WAS,@,NYK,W 121-115,*,37,13,38,.342,11,27,.407,2,11,.182,2,4,.500,.377,3,1,4,3,2,2,3,2,30,11.9,-8.9,-7,G,bealbr01
30,Bradley Beal,2019-12-26,26-181,WAS,@,DET,L 102-132,*,24,5,14,.357,5,9,.556,0,5,.000,5,7,.714,.439,1,1,2,2,1,0,1,0,15,8.8,-4.3,-25,G,bealbr01
31,Bradley Beal,2020-01-01,26-187,WAS,,ORL,L 101-122,*,30,8,20,.400,6,12,.500,2,8,.250,9,10,.900,.553,1,3,4,5,0,0,2,2,27,18.1,4.7,-20,G,bealbr01
32,Bradley Beal,2020-01-12,26-198,WAS,,UTA,L 116-127,*,27,11,25,.440,11,18,.611,0,7,.000,3,3,1.000,.475,0,1,1,4,1,0,3,1,25,12.6,-6.9,-10,G,bealbr01
33,Bradley Beal,2020-01-15,26-201,WAS,@,CHI,L 106-115,*,27,8,13,.615,6,9,.667,2,4,.500,5,6,.833,.735,1,3,4,4,0,0,2,0,23,19.1,6.3,-15,G,bealbr01
34,Bradley Beal,2020-01-17,26-203,WAS,@,TOR,L 111-140,*,23,4,12,.333,1,6,.167,3,6,.500,3,3,1.000,.526,0,2,2,3,0,1,3,0,14,7.6,-2.6,-3,G,bealbr01
35,Bradley Beal,2020-01-20,26-206,WAS,,DET,W 106-100,*,33,10,21,.476,8,14,.571,2,7,.286,7,8,.875,.591,0,1,1,6,1,0,5,0,29,18.4,2.4,8,G,bealbr01
36,Bradley Beal,2020-01-22,26-208,WAS,@,MIA,L 129-134 (OT),*,38,16,24,.667,14,16,.875,2,8,.250,4,4,1.000,.738,1,8,9,5,1,0,2,5,38,31.2,8.3,4,G,bealbr01
37,Bradley Beal,2020-01-23,26-209,WAS,@,CLE,W 124-112,*,29,15,22,.682,11,14,.786,4,8,.500,2,2,1.000,.787,1,1,2,8,0,0,3,1,36,29.8,14.7,12,G,bealbr01
38,Bradley Beal,2020-01-26,26-212,WAS,@,ATL,L 133-152,*,38,12,22,.545,11,17,.647,1,5,.200,15,18,.833,.668,1,2,3,6,1,0,3,3,40,30.5,2.5,-13,G,bealbr01
39,Bradley Beal,2020-01-28,26-214,WAS,@,MIL,L 131-151,*,38,13,31,.419,9,22,.409,4,9,.444,17,18,.944,.604,0,0,0,6,1,1,3,2,47,32.2,5.1,-14,G,bealbr01
40,Bradley Beal,2020-01-30,26-216,WAS,,CHO,W 121-107,*,35,7,16,.438,1,4,.250,6,12,.500,14,15,.933,.752,2,7,9,9,0,1,3,2,34,31.9,18.2,14,G,bealbr01
41,Bradley Beal,2020-02-01,26-218,WAS,,BRK,W 113-107,*,36,11,23,.478,9,16,.563,2,7,.286,10,15,.667,.574,1,5,6,2,3,3,2,2,34,26.2,13.7,7,G,bealbr01
42,Bradley Beal,2020-02-03,26-220,WAS,,GSW,L 117-125,*,39,15,30,.500,12,23,.522,3,7,.429,10,10,1.000,.625,0,2,2,6,2,0,3,1,43,31.4,5.7,4,G,bealbr01
43,Bradley Beal,2020-02-07,26-224,WAS,,DAL,W 119-118,*,39,11,28,.393,8,18,.444,3,10,.300,4,5,.800,.480,0,5,5,8,0,0,4,2,29,15.7,-8.2,0,G,bealbr01
44,Bradley Beal,2020-02-09,26-226,WAS,,MEM,L 99-106,*,34,10,25,.400,9,19,.474,1,6,.167,5,7,.714,.463,1,3,4,3,2,1,1,2,26,16.3,5.7,5,G,bealbr01
45,Bradley Beal,2020-02-11,26-228,WAS,,CHI,W 126-114,*,34,12,23,.522,9,14,.643,3,9,.333,3,4,.750,.606,2,2,4,7,1,0,4,1,30,21.8,1.7,18,G,bealbr01
46,Bradley Beal,2020-02-12,26-229,WAS,@,NYK,W 114-96,*,34,11,23,.478,9,16,.563,2,7,.286,6,7,.857,.575,0,2,2,3,2,1,4,1,30,18.9,1.6,16,G,bealbr01
47,Bradley Beal,2020-02-21,26-238,WAS,,CLE,L 108-113,*,34,9,28,.321,8,18,.444,1,10,.100,7,9,.778,.407,0,3,3,1,3,0,6,4,26,6.2,-9.0,-15,G,bealbr01
48,Bradley Beal,2020-02-23,26-240,WAS,@,CHI,L 117-126,*,39,15,27,.556,10,16,.625,5,11,.455,18,20,.900,.740,2,3,5,4,2,1,7,5,53,38.1,7.8,-4,G,bealbr01
49,Bradley Beal,2020-02-24,26-241,WAS,,MIL,L 134-137 (OT),*,41,19,33,.576,11,20,.550,8,13,.615,9,10,.900,.735,1,1,2,3,0,0,9,4,55,31.6,7.2,-4,G,bealbr01
50,Bradley Beal,2020-02-26,26-243,WAS,,BRK,W 110-106,*,39,11,24,.458,7,15,.467,4,9,.444,4,4,1.000,.582,0,5,5,5,3,0,2,2,30,22.8,8.8,8,G,bealbr01
51,Bradley Beal,2020-02-28,26-245,WAS,@,UTA,L 119-129,*,41,17,33,.515,11,18,.611,6,15,.400,2,4,.500,.604,1,4,5,10,2,0,2,3,42,32.6,12.0,-5,G,bealbr01
52,Bradley Beal,2020-03-01,26-247,WAS,@,GSW,W 124-110,*,35,10,24,.417,3,15,.200,7,9,.778,7,8,.875,.618,1,1,2,8,5,0,1,1,34,31.0,14.9,22,G,bealbr01
53,Bradley Beal,2020-03-03,26-249,WAS,@,SAC,L 126-133,*,39,11,24,.458,9,16,.563,2,8,.250,11,15,.733,.572,0,2,2,8,2,0,4,2,35,24.4,-2.7,-5,G,bealbr01
54,Bradley Beal,2020-03-04,26-250,WAS,@,POR,L 104-125,*,38,10,29,.345,6,20,.300,4,9,.444,5,6,.833,.458,2,4,6,6,1,0,2,1,29,17.7,3.0,-19,G,bealbr01
