Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Cedi Osman,2019-10-23,24-198,CLE,@,ORL,L 85-94,*,29,5,9,.556,2,3,.667,3,6,.500,0,0,,.722,0,3,3,2,2,0,2,1,13,10.6,6.3,6,F,osmande01
2,Cedi Osman,2019-10-26,24-201,CLE,,IND,W 110-99,*,28,0,3,.000,0,2,.000,0,1,.000,1,2,.500,.129,0,1,1,0,0,0,1,3,1,-3.4,-14.4,9,F,osmande01
3,Cedi Osman,2019-10-28,24-203,CLE,@,MIL,L 112-129,*,27,4,8,.500,2,3,.667,2,5,.400,0,0,,.625,0,1,1,2,0,0,0,2,10,6.9,-0.2,-6,F,osmande01
4,Cedi Osman,2019-10-30,24-205,CLE,,CHI,W 117-111,*,31,4,6,.667,0,1,.000,4,5,.800,0,0,,1.000,0,4,4,3,1,1,2,4,12,10.8,6.1,-1,F,osmande01
5,Cedi Osman,2019-11-01,24-207,CLE,@,IND,L 95-102,*,38,3,8,.375,1,4,.250,2,4,.500,2,2,1.000,.563,0,4,4,1,3,0,1,1,10,9.1,1.4,7,F,osmande01
6,Cedi Osman,2019-11-03,24-209,CLE,,DAL,L 111-131,*,28,4,11,.364,2,5,.400,2,6,.333,0,0,,.455,1,3,4,1,0,1,0,5,10,4.9,-8.9,-1,F,osmande01
7,Cedi Osman,2019-11-05,24-211,CLE,,BOS,L 113-119,*,32,4,13,.308,1,6,.167,3,7,.429,1,2,.500,.432,1,4,5,3,1,0,0,2,12,8.3,-1.9,-6,F,osmande01
8,Cedi Osman,2019-11-08,24-214,CLE,@,WAS,W 113-100,*,37,5,9,.556,4,6,.667,1,3,.333,0,0,,.611,1,2,3,4,2,0,2,2,11,10.0,0.6,22,F,osmande01
9,Cedi Osman,2019-11-10,24-216,CLE,@,NYK,W 108-87,*,25,2,8,.250,1,2,.500,1,6,.167,0,0,,.313,0,2,2,5,1,0,1,2,5,3.5,-3.2,25,F,osmande01
10,Cedi Osman,2019-11-12,24-218,CLE,@,PHI,L 97-98,*,32,2,5,.400,2,4,.500,0,1,.000,0,0,,.400,0,1,1,1,1,0,1,2,4,1.5,-6.3,-2,F,osmande01
11,Cedi Osman,2019-11-14,24-220,CLE,,MIA,L 97-108,*,34,5,11,.455,4,7,.571,1,4,.250,1,4,.250,.470,1,6,7,1,0,0,1,4,12,5.7,-6.8,-9,F,osmande01
12,Cedi Osman,2019-11-17,24-223,CLE,,PHI,L 95-114,*,28,2,7,.286,1,3,.333,1,4,.250,0,0,,.357,1,3,4,1,1,0,2,2,5,1.4,-9.2,-19,F,osmande01
13,Cedi Osman,2019-11-18,24-224,CLE,@,NYK,L 105-123,*,22,2,5,.400,2,3,.667,0,2,.000,1,2,.500,.425,1,7,8,2,0,0,3,4,5,1.5,-12.9,-32,F,osmande01
14,Cedi Osman,2019-11-20,24-226,CLE,@,MIA,L 100-124,*,22,1,6,.167,1,4,.250,0,2,.000,1,2,.500,.218,0,1,1,1,3,0,2,1,3,0.4,-10.4,-6,F,osmande01
15,Cedi Osman,2019-11-22,24-228,CLE,@,DAL,L 101-143,*,26,6,10,.600,2,4,.500,4,6,.667,2,2,1.000,.827,1,3,4,3,0,1,1,2,18,16.0,8.8,-15,F,osmande01
16,Cedi Osman,2019-11-23,24-229,CLE,,POR,W 110-104,*,33,2,11,.182,1,4,.250,1,7,.143,0,0,,.227,1,11,12,5,1,0,1,2,5,4.8,-6.2,1,F,osmande01
17,Cedi Osman,2019-11-25,24-231,CLE,,BRK,L 106-108,*,31,6,8,.750,5,5,1.000,1,3,.333,2,3,.667,.805,0,3,3,1,1,1,0,1,15,14.3,4.8,-5,F,osmande01
18,Cedi Osman,2019-11-27,24-233,CLE,,ORL,L 104-116,*,32,3,11,.273,1,5,.200,2,6,.333,6,6,1.000,.513,1,2,3,1,1,0,2,2,14,7.7,-4.2,-4,F,osmande01
19,Cedi Osman,2019-11-29,24-235,CLE,,MIL,L 110-119,*,38,8,13,.615,5,7,.714,3,6,.500,1,1,1.000,.744,0,2,2,4,2,0,2,3,20,16.3,3.3,1,F,osmande01
20,Cedi Osman,2019-12-03,24-239,CLE,,DET,L 94-127,*,26,4,6,.667,3,3,1.000,1,3,.333,1,2,.500,.727,0,0,0,0,0,1,2,2,10,4.9,-7.2,-6,F,osmande01
21,Cedi Osman,2019-12-06,24-242,CLE,,ORL,L 87-93,*,32,5,12,.417,2,5,.400,3,7,.429,1,2,.500,.543,0,5,5,4,4,1,2,2,14,13.4,8.6,2,F,osmande01
22,Cedi Osman,2019-12-07,24-243,CLE,@,PHI,L 94-141,*,19,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,0,0,0,1,0,0,0,1,2,1.3,-9.4,-27,F,osmande01
23,Cedi Osman,2019-12-09,24-245,CLE,@,BOS,L 88-110,*,24,1,5,.200,0,1,.000,1,4,.250,1,2,.500,.340,0,1,1,1,1,0,1,2,4,0.7,-7.8,-13,F,osmande01
24,Cedi Osman,2019-12-11,24-247,CLE,,HOU,L 110-116,*,19,0,4,.000,0,1,.000,0,3,.000,0,0,,.000,0,2,2,7,1,1,1,1,0,3.0,-1.7,-11,F,osmande01
25,Cedi Osman,2019-12-12,24-248,CLE,@,SAS,W 117-109 (OT),*,37,6,12,.500,3,4,.750,3,8,.375,0,0,,.625,0,2,2,1,1,1,0,2,15,11.2,3.5,11,F,osmande01
